Port_IDs,ROI,Sharpe_Ratio,PnL,MDD,Win_Rate,Win_Positions,Total_Positions,Normalized_MDD,Profitability_Score,Risk_Adjusted_Score,Trade_Success_Score,Overall_Composite_Score,Profitability_Rank,Risk_Adjusted_Rank,Trade_Success_Rank,Overall_Rank
3953433416230728705,0.10892629587043141,0.18009753391475208,0.20477009659274586,0.998158232682148,0.2600615583105435,0.03802281368821293,0.08450008235875474,0.0018417673178520411,0.11101176875070584,0.1852529828009846,0.2567837528949588,0.17701572820906536,123.0,146.0,131.0,143.0
3953764659057081857,0.10967580496599826,0.46613795716490614,0.2180974679460721,0.9983692910832445,0.38467861252671387,0.062219149671621156,0.09372426288914511,0.0016307089167555099,0.11203496055118109,0.46949209878520604,0.3799183650507576,0.2996371233712615,94.0,45.0,107.0,89.0
3956048468100538880,0.1102198663786175,0.8521973590940306,0.162667135760933,1.0,0.8899509170756912,0.0069132388524023505,0.002306045132597595,0.0,0.11136107068308955,0.8531288168227652,0.876915238600888,0.5635576449003319,107.0,2.0,4.0,5.0
3956076827719377409,0.22864122311173335,0.6631159078760492,0.3454444074720059,0.9986429546569239,0.6423736624632657,0.6978914621500173,0.642727721956844,0.0013570453430760906,0.2311827528870267,0.6652304117780624,0.6431932335916474,0.4850001947657236,17.0,9.0,21.0,9.0
3957509601040585217,0.11887836716709474,0.4250119168927756,0.18401521789724204,0.9147207959840822,0.33583053474554375,0.10369858278603526,0.1810245429089112,0.08527920401591782,0.12029568508103865,0.42809808042452024,0.3324037302454673,0.2762688172334117,54.0,59.0,115.0,111.0
3960874214179953664,0.11398782528413635,0.42312284290843627,0.3783739388719596,0.8095935447866067,0.642506596844859,0.4262011752506049,0.39153352001317737,0.19040645521339322,0.11974062375052887,0.4255583956156638,0.6393134285375534,0.3673577967461767,58.0,62.0,22.0,37.0
3962024093501274881,0.10961548561730143,0.32129477105166193,0.2568147260462387,0.9951357075002573,0.3298341262186261,0.1164880746629796,0.20737934442431227,0.004864292499742742,0.11281840559332522,0.325541341642996,0.3266846450577045,0.24079515824754022,87.0,119.0,117.0,124.0
3966142151544441601,0.10859862612087519,0.2632688163974092,0.20428446326906452,0.0,0.6629489440245002,0.3553404770134808,0.3159281831658705,1.0,0.11068066185918085,0.26160968654516126,0.6584079315955054,0.32027755018587234,131.0,134.0,17.0,75.0
3975304792994095360,0.11845117007123601,0.39446219571969676,0.17644991765431436,0.9997326327621652,0.5314883245538171,0.35948842032492223,0.39927524295832645,0.0002673672378347782,0.11971316943126589,0.39827663247875605,0.5289492081553684,0.32605301996274366,59.0,77.0,55.0,69.0
3975392755164484097,0.11153668078478857,0.30248131933851335,0.17400982732326317,0.9921687073090484,0.348779014412168,0.17697891462150017,0.29896227969033107,0.007831292690951647,0.11289603894743984,0.3068277548554851,0.34624284758934765,0.24107959631242576,83.0,124.0,114.0,123.0
3976088733682659585,0.11514506601304474,0.34619958763403713,0.21634614840301164,0.9956766248204243,0.542825783251143,0.42378154165226406,0.461209026519519,0.004323375179575654,0.11734710841107286,0.35029261602794637,0.5410684149122493,0.3143471526464878,63.0,101.0,51.0,81.0
3977078013600312321,0.10735021267666317,0.26243110643695383,0.20118472208527047,0.9787565656756287,0.4067029579589428,0.5661942620117525,0.8242464173941689,0.021243434324371233,0.10939196522748774,0.2669454160677384,0.4090574184881274,0.24655763645775483,141.0,133.0,97.0,122.0
